Provider,Data Center Name,Address
Amazon AWS,Port of Morrow 3,"73200 Lewis and Clark Drive, Boardman, OR, USA"
Google,Arcola Campus,"24400 Howling Rooster Ln, Dulles, VA, USA"
Amazon AWS,11200 Thomasson Barn,"11200 Thomasson Barn Road, Manassas, VA, USA"
Amazon AWS,1125 Electron Ave,"1125 Electron Ave, Berwick, Pennsylvania 18603, USA"
Amazon AWS,IAD100 Manassas,"10321 Tanner Way, Manassas, VA 20110, USA"
Voxility,CoreSite LA2 data center Los Angeles,"900 North Alameda Street, Los Angeles, California 90012, United States"
Microsoft Azure,San Antonio (SN7) - Texas,"5200 Rogers Rd, San Antonio, Texas 78251, USA"
DataBank,DFW3 - Plano Data Center,"8375 Dominion Pkwy, Plano, TX, USA"
Csquare,EWR2 Weehawken Data Center Campus,"300 J F Kennedy Boulevard East, Weehawken, NJ, USA"
"Meta, Inc.",Henrico Data Center,"6200 Technology Blvd, Sandston, VA, USA"
Amazon AWS,Scioto Campus,"4120 Scioto Darby Creek Road, Hilliard, Ohio 43026, USA"
Amazon AWS,Fadeley II,"42800 Fadeley Ln, Sterling, VA 20166, USA"
Equinix,NY5 Secaucus Data Center,"800 Secaucus Road, Secaucus, NJ, USA"
Google,111 Eight Avenue,"111 8th Avenue, New York, New York 10011, USA"
Microsoft Azure,Goodyear - USA (PHX70),"3785 Citrus Rd, Goodyear, Arizona 85338, USA"
CyrusOne,CHI2 Chicago Aurora Data Center,"2805 Diehl Rd, Aurora, IL, USA"
Csquare,ATL1 Atlanta Data Center Campus,"375 Riverside Parkway, Lithia Springs, GA, USA"
Apple Inc.,Reno Data Center,"21505 Technology Way, Reno, NV 89521, USA"
Csquare,TPA1 Tampa Data Center Campus,"9310 Florida Palm Drive, Tampa, FL, USA"
Google,Southlands Campus,"10420 Bunge Ave, Council Bluffs, Iowa 51503, USA"
"Meta, Inc.",Prineville Data Center,"735 S.W. Connect Way, Prineville, OR, USA"
Summit,"Elk Grove Village, IL Data Center","2200 Busse Road, Elk Grove Village, IL, USA"
Equinix,NY7 North Bergen Data Center,"5851 West Side Avenue, North Bergen, NJ, USA"
Digital Realty,Dallas DFW10 Data Center,"2323 Bryan Street, Dallas, TX, USA"
Amazon AWS,22420 Kipper,"22420 Kipper Dr, Dulles, VA 20166, USA"
Telefonica Global Solutions,Miami KeyCenter,11300 Northwest 25th Street
Equinix,AT4 Atlanta Data Center,"450 Interstate North Parkway, Atlanta, GA, USA"
Equinix,NY11 Carteret Data Center,"1400 Federal Boulevard, Carteret, NJ, USA"
Equinix,DC11 Ashburn Data Center,"21721 Filigree Court, Ashburn, VA, USA"
CyrusOne,CHI1 Chicago Aurora Data Center,"2905 Diehl Road, Aurora, IL, USA"
Lumen,Salt Lake City 3 Data Center,"3670 West 500 South, Salt Lake City, UT, USA"
Equinix,SE4 Kent Data Center,"6906 S 204th St, Kent, WA, USA"
Lumen,Birmingham 1 Data Center,"401 6th Street North, Birmingham, AL, USA"
Firstlight Fiber,FirstLight Portland,"340 Cumberland Ave, Portland, Maine, EE. UU."
Equinix,PH1 Philadelphia Data Center,"401 North Broad Street, Philadelphia, PA, USA"
Lumen,Santa Barbara 1 Data Center,"122 Helena Ave, Santa Barbara, CA, USA"
DataBank,DataBank ATL2 Data Center,"1100 White Street Southwest, Atlanta, GA, USA"
Amazon AWS,IAD71 Ashburn,"21263 Smith Switch Rd, Ashburn, VA, USA"
Amazon AWS,"PDX1 Boardman, OR","73575 Lewis and Clark Drive, Boardman, OR 97818, USA"
QTS Data Centers,Irving - Dallas DC1 & DC2 Data Center,"6431 Longhorn Dr, Irving, TX, USA"
Google,"Papillion, NE Data Center","14706 Schram Road, Papillion, NE 68138, USA"
Equinix,AT1 Atlanta IBX Data Center,"180 Peachtree Street Northwest, Atlanta, GA, USA"
QTS Data Centers,Suwanee Data Center 1,"300 Satellite Boulevard, Suwanee, Georgia 30024, USA"
CyrusOne,DFW1 Dallas Carrollton Data Center,"1649 West Frankford Road, Carrollton, TX, USA"
"Meta, Inc.",Cheyenne,"114 West 10th Street, Cheyenne, WY, USA"
Digital Realty,Atlanta ATL13 Data Center,"56 Marietta Street NorthWest, Atlanta, GA, USA"
CyrusOne,PHX1-PHX8 Phoenix Data Center,"2335 South Ellis Street, Chandler, AZ, USA"
FIBERTOWN,Fibertown – Bryan Data Center,"110 N Main St, Bryan, TX, USA"
123NET,Grand Rapids Data Center (DC4),"400 76th St SW, Byron Center, MI 49315, USA"
Google,"Berkeley County, SC Data Center",200-220 State Road S-8-934
Amazon AWS,"PDX58 Boardman, OR","73579 Lewis and Clark Drive, Boardman, OR 97818, USA"
"Meta, Inc.",Fort Worth Data Center,"4500 Like Way, Fort Worth, Texas 76177, USA"
TierPoint,Oklahoma City 4114 Perimeter Center Data Center,"4114 Perimeter Center Place, Oklahoma City, Oklahoma 73112, USA"
Amazon AWS,25410 Sutton Bay,"25410 Sutton Bay Plz, South Riding, VA 20152, USA"
Csquare,Secaucus (NYC3) Data Center,"15 Enterprise Avenue North, Secaucus, NJ, USA"
Amazon AWS,IAD10 Sterling,"45360 West Severn Way, Sterling, VA, USA"
Csquare,BOS1-A Waltham Data Center,"580 Winter St, Waltham, MA 02451, USA"
"Meta, Inc.",Eagle Mountain Utah Data Center,"1275 N Community Cir, Eagle Mountain, Utah, USA"
365 Data Centers,TA1 Tampa Data Center,"655 North Franklin Street, Tampa, FL, USA"
Csquare,SEA3-A Lynnwood Data Center,"17300 Hwy 99, Lynnwood, WA 98037, USA"
"Meta, Inc.",Altoona Iowa Data Center,"100 Share Way Northwest, Altoona, IA, USA"
Microsoft Azure,East Wenatchee,"875 Urban Industrial Wy, East Wenatchee, Washington 98802, USA"
Amazon AWS,IAD1 (VDC),"4101a Westfax Dr, Chantilly, VA 20151, USA"
CyrusOne,CIN5 Cincinnati North Cincinnati Data Center,"401 Kingsview Drive, Lebanon, OH, USA"
Vantage Data Centers,AZ1 Phoenix Data Center,"45 South Bullard Avenue, Goodyear, AZ, USA"
Switch Data Centers,Houston 2 Data Center,"660 Greens Parkway, Houston, TX, USA"
Equinix,CU3 Culpeper Data Center,"18155 Technology Drive, Culpeper, VA, USA"
Csquare,EWR2-A Weehawken Data Center,"300 J. F. Kennedy Blvd, Weehawken, NJ 07086, USA"
Crown Castle,Crown Castle Baltimore,"111 Market Place suite 103, Baltimore, Maryland 21202, EE. UU."
Equinix,DC14 Manassas Data Center,"7400 Infantry Ridge Road, Manassas, VA, USA"
Digital Realty,Dallas DFW18 Data Center,"1210 Integrity Drive, Richardson, TX, USA"
Google,"Council Bluffs, IA Data Center","1430 Veterans Memorial Hwy, Council Bluffs, IA 51501, USA"
Csquare,DFW1 Fort Worth Data Center Campus,"14901 FAA Boulevard, Fort Worth, TX, USA"
Digital Realty,Silicon Valley SFO10 Data Center,"200 Paul Avenue, San Francisco, CA, USA"
Digital Realty,Boston BOS16 Data Center,"105 Cabot Street, Needham, MA, USA"
Flexential,Atlanta - Douglasville 1 Data Center,"1700 N River Rd, Douglasville, GA, USA"
Prime Data Centers,Prime Dallas - 1515 Round Table,"1515 Round Table Drive, Dallas, TX, USA"
365 Data Centers,BCA Boca Raton Data Center,"3500 Northwest Boca Raton Boulevard, Boca Raton, FL, USA"
Lumen,Tustin 1 Data Center,"14452 Franklin Avenue, Tustin, CA, USA"
Digital Realty,Austin AUS11 Data Center,"7500 Metro Center Drive, Austin, TX, USA"
Switch Data Centers,Texas 1 Data Center,"4100 Smith School Rd, Austin, TX, USA"
11:11 Systems,Carlstadt Data Center,"777 Central Blvd, Carlstadt, NJ 07072, USA"
Apple Inc.,Newark Data Center,"39800 Eureka Drive, Newark, CA, USA"
Amazon AWS,IAD15 Sterling,"22631 Dulles Summit Ct, Sterling, VA, USA"
Csquare,MSP1 Shakopee Data Center Campus,"4450 Dean Lakes Boulevard, Shakopee, MN, USA"
Lumen,Hayward 1 Data Center,"23965 Connecticut St, Hayward, CA, USA"
Lumen,Orlando 1 Data Center,"380 South Lake Destiny Drive, Orlando, FL, USA"
QTS Data Centers,Phoenix Data Center,"1200 North 40th Street, Phoenix, Arizona 85008, USA"
CyrusOne,AUS3 Austin Data Center,"7100 Metropolis Drive, Austin, TX, USA"
QTS Data Centers,"East Windsor, NJ Data Center","159 Princeton Hightstown Road, East Windsor, New Jersey 08520, USA"
Aligned Data Centers,ORD-01 Chicago,"505 Northwest Avenue, Northlake, IL, USA"
Csquare,TPA1-A Tampa Data Center,"9310 Florida Palm Drive, Tampa, FL 33619, USA"
Equinix,NY2 Secaucus Data Center,"275 Hartz Way, Secaucus, NJ, USA"
Equinix,DA11 Dallas IBX Data Center,"1990 North Stemmons Freeway, Dallas, TX 75207, U.S."
QuadraNet,Miami Data Center,"36 Northeast 2nd Street, Miami, FL, USA"
Lumen,Oklahoma City 1 Data Center,"201 East Robert S Kerr Boulevard, Wynnewood, OK, USA"
365 Data Centers,ATL1 Atlanta Data Center,"55 Marietta Street, Marietta Street NorthWest, Atlanta, GA, USA"
EdgeConnex,CHI02 Chicago Data Center,"2021 Lunt Avenue, Elk Grove Village, IL, USA"
Element Critical,Houston One Data Center,"22000 Franz Road, Katy, TX, USA"
Digital Realty,New York EWR21 Data Center,"2 Peekay Drive, Clifton, NJ, USA"
Amazon AWS,IAD9 Chantilly,"4100 Westfax Drive, Chantilly, VA, USA"
Element Critical,Chicago Two Data Center,"341 Haynes Dr, Wood Dale, IL, USA"
T5 Data Centers,@Charlotte Data Center Campus,"131 Riverside Ct, Kings Mountain, NC, USA"
Digital Realty,Chicago ORD12 Data Center,"9333 Grand Avenue, Franklin Park, IL 60131, USA"
T5 Data Centers,@Minneapolis Data Center,"1001 3rd Avenue South, Minneapolis, MN, USA"
Microsoft Azure,Lyle Creek Data Center,"1521 N Nc 16 Hwy, Conover, North Carolina 28613, USA"
CoreSite,MI1 Miami Data Center,"2115 Northwest 22nd Street, Miami, FL, USA"
DataBank,DataBank IAD1 Data Center,"21635 Red Rum Drive, Ashburn, VA, USA"
Equinix,MI6 Doral Data Center,"1525 Northwest 98th Court, Doral, FL, USA"
US Signal,Grand Rapids East Data Center,"4765 Barden Drive Southeast, Kentwood, MI, USA"
Lumen,Tulsa 1 Data Center,"18 West Archer Street, Tulsa, OK, USA"
Iron Mountain Data Centers,MIA-1 - Miami Data Center,"2925 Northwest 120th Terrace, Miami, FL, USA"
Equinix,LA7 Torrance Data Center,"1501 Francisco Street, Torrance, CA, USA"
11:11 Systems,Carrollton Data Center,"1649 W Frankford Rd, Carrollton, TX 75007, USA"
Cologix,NNJ3 New Jersey Data Center,"200 Webro Road, Parsippany, NJ, USA"
DataBank,Data Bank SLC2 Data Center,"14944 Pony Express Rd, Bluffdale, Salt Lake, UT, USA"
Rackspace,NYC1 New York Metro Data Center,"125 Belmont Drive, Somerset, NJ, USA"
365 Data Centers,ATL3 Atlanta Data Center,"56 Marietta Street NorthWest 5th floor, Atlanta, GA, USA"
QTS Data Centers,Piscataway Data Center,"101 Possumtown Road, Piscataway Township, New Jersey 08854, USA"
QTS Data Centers,Ashburn-Broderick Data Center,"22271 Broderick Drive, Sterling, VA, USA"
Csquare,Boston (BO1-Watertown) Data Center,"486 Arsenal Way, Watertown, MA, USA"
123NET,Detroit Data Center (DC1),"24700 Northwestern Hwy, Southfield, MI 48075, USA"
Digital Realty,Atlanta ATL11 Data Center,"101 Aquila Way, Austell, GA 30168, USA"
Rackspace,DFW3 Dallas Data Center,"1215 Integrity Drive, Richardson, TX, USA"
Digital Realty,Silicon Valley SJC37 Data Center,"641 Walsh Ave, Santa Clara, CA 95050, USA"
Csquare,Los Angeles (LA2-Irvine) Data Center,"2681 Kelvin Ave, Irvine, California, USA"
DataBank,DataBank BWI1 Data Center,"300 West Lexington Street, Baltimore, MD, USA"
365 Data Centers,DT1 Detroit Data Center,"24660 Lahser Road, Southfield, MI, USA"
Digital Realty,Miami MIA10 Data Center,"36 Northeast 2nd Street, Miami, FL 33132, USA"
