Provider,Data Center Name,Address
Vantage Data Centers,CA2 Santa Clara Data Center,"737 Mathew Street, Santa Clara, CA, USA"
US Signal,1655 W Sunrise Blvd Data Center,"1655 West Sunrise Boulevard, Gilbert, AZ 85233, USA"
Colocation Northwest,Redmond Data Center,"2457 152nd Avenue Northeast, Redmond, WA, USA"
H5 Data Centers,San Luis Obispo Data Center,"3610 Sacramento Dr, San Luis Obispo, CA, USA"
Digital Realty,Silicon Valley SJC30 Data Center,"3105 Alfred Street, Santa Clara, CA, USA"
QTS Data Centers,Overland Park - Kansas City Data Center,"12851 Foster Street, Overland Park, Kansas 66213, USA"
TierPoint,Dallas - Allen Data Center,"840 Allen Commerce Parkway, Allen, TX, USA"
Ark data centers (Iowa),Pittsburgh Data Center,"161 Armstrong Drive, Freeport, PA, USA"
H5 Data Centers,Nashville Data Center,"211 Commerce Street, Nashville, TN, USA"
Edged,Edged Kansas City Data Center,"3420 North Arlington Avenue, Kansas City, MO 64161, USA"
Lumen,Indianapolis 3 Data Center,"4625 W 86th St, Indianapolis, IN, USA"
Liberty Center One,Royal Oak MI Data Center,"4815 Delemere Avenue, Royal Oak, MI, USA"
Lumen,McLean 1 Data Center,"1755 Old Meadow Road, McLean, VA 22102, USA"
Expedient,Pittsburgh North Shore Data Center,"100 South Commons suite 001, Pittsburgh, PA 15212, USA"
DartPoints,Asheville Data Center,"100 Technology Dr ste c, Asheville, NC, USA"
US Signal,Indianapolis North Data Center,"6325 Morenci Trail, Indianapolis, IN, USA"
365 Data Centers,MA1 Marlboro Data Center,"250 Locke Drive, Marlborough, MA, USA"
365 Data Centers,NJ10 North Bergen Data Cennter,"5851 West Side Avenue, Secaucus, NJ, USA"
Equinix,DC4 Ashburn Data Center,"21691 Filigree Court, Ashburn, VA, USA"
Lumen,Detroit 1 Data Center,"19675 West 10 Mile Road, Southfield, MI, USA"
Csquare,ABQ1-A Albuquerque Data Center,"400 Tijeras Ave NW, Albuquerque, NM 87102, USA"
Windstream,"Tulsa, OK Data Center","110 W 7th St, Tulsa, Oklahoma 74119, USA"
CyrusOne,CIN3 Cincinnati Mason Data Center,"4800 Parkway Dr, Mason, OH, USA"
Cogent Communications,Miami Data Center,"200 Southeast 1st Street, Miami, FL, USA"
Digital Realty,Northern Virginia VA3 Data Center,"1780 Business Center Drive, Reston, VA, USA"
Equinix,SV2 Santa Clara Data Center,"1350 Duane Avenue, Santa Clara, CA, USA"
ValorC3,St George 1 Data Center,"1108 West 1600 South, St. George, UT, USA"
Amazon AWS,IAD78 44862 Interconnection Plaza,"44862 Interconnection Plz, Ashburn, VA 20147, USA"
DartPoints,Greenville Data Center,"78 Global Dr ste 100, Greenville, SC 29607, USA"
HorizonIQ,Phoenix 3 Data Center,"2500 West Frye Road, Chandler, AZ, USA"
NTT Global Data Centers,PH1 Phoenix Data Center,"10256 East Elliot Road, Mesa, AZ 85212, USA"
Lumen,Detroit 4 Data Center,"200 Galleria Officentre, Southfield, MI, USA"
365 Data Centers,CL2 Columbus Data Center,"251 Neilston Street, Columbus, OH, USA"
Acehost Data Centers,Raleigh-Durham Data Center,"4518 South Miami Boulevard, Durham, NC, USA"
Segra,Charlotte One Data Center,"3100 International Airport Drive, Charlotte, NC, USA"
Aligned Data Centers,NEO-01 Data Center,"2509 Hayes Ave, Sandusky, OH 44870, USA"
Lumen,Mobile 1 Data Center,"50 North Lawrence Street, Mobile, AL, USA"
Telesystem,DC-1 Ohio Data Center,"4818 Angola Road, Toledo, OH, USA"
Digital Realty,New York JFK12 Data Center,"60 Hudson Street, New York, NY, USA"
Lumen,Lansing 1 Data Center,"1206 May Street, Lansing, MI, USA"
Lumen,Minnetonka 1 Data Center,"5510 Feltl Road, Hopkins, MN, USA"
DartPoints,North Charleston Data Center,"8480 Palmetto Commerce Pkwy, Ladson, SC 29456, USA"
Csquare,SFO1 Santa Clara Data Center Campus,"2401 Walsh Avenue, Santa Clara, CA, USA"
DataBank,Orangeburg Campus,"2000 Corporate Dr, Orangeburg, New York 10962, USA"
TierPoint,Sioux Falls - West Data Center,"5300 North La Mesa Drive, Sioux Falls, SD, USA"
US Signal,Indianapolis Data Center,"701 West Henry Street, Indianapolis, Indiana, USA"
Skybox Datacenters,Legacy Campus,"6800 Communications Parkway, Plano, TX, USA"
Amazon AWS,75300 Lewis,"75300 Lewis and Clark Dr, Boardman, Oregon 97818, USA"
365 Data Centers,LI1 Commack Data Center,"500 Commack Road, Commack, NY, USA"
Aptum Technologies,MIA-89P Data Center,"2300 NW 89th Pl, Doral, FL 33172, USA"
Flexential,Nashville - Brentwood Data Center,"7100 Commerce Way suite 25, Brentwood, TN 37027, USA"
Microsoft Azure,Project Ginger East,"1475 SE Maffitt Lake Ct, West Des Moines, Iowa 50265, USA"
ManagedWay,Byron Data Center,"700 76th Street Southwest, Byron Center, Byron Township, Michigan, EE. UU."
Cologix,LAK1 Lakeland Data Center,"2850 Interstate Drive, Lakeland, FL, USA"
DataBank,MSP1 West Twin Cities Data Center,"7700 France Ave S, Edina, MN, USA"
Otava,Indianapolis Data Center,"505 West Merrill Street, Indianapolis, IN, USA"
DartPoints,Cincinnati Data Center,"302 West Third, West 3rd Street, Cincinnati, OH, USA"
Iron Mountain Data Centers,VA-7 - Northern Virginia Data Center,"8330 Bethlehem Road, Manassas, VA, USA"
Amazon AWS,75250 Gar Swanson,"75250 Gar Swanson Dr, Boardman, Oregon 97818, USA"
Equinix,DC15 Washington DC IBX Data Center,"44780 Performance Circle, Ashburn, VA 20147, U.S."
MOD Mission Critical,Internet 123 Data Center,"24245 Northwestern Highway, Southfield, MI, USA"
Segra,Kannapolis Data Center,"465 Charles Babbage Lane, Kannapolis, NC, USA"
Crown Castle,Crown Castle Stamford 1,"1351 Washington Blvd #6902, Stamford, Connecticut, USA"
Lumen,Birmingham 2 Data Center,"2001 Park Place, Birmingham, AL, USA"
Aligned Data Centers,IAD02 Ashburn VA Data Center,"21821 Uunet Drive, Ashburn, VA, USA"
CyrusOne,CHI5 Chicago Lombard Data Center,"1850 Springer Drive, Lombard, IL, USA"
Hivelocity,TPA2 Tampa Data Center,"5908 Hampton Oaks Parkway suite d, Tampa, FL, USA"
Volico Data Center,FLL1 - Broward Data Center,"500 Green Road, Deerfield Beach, FL 33064, USA"
DC BLOX,Birmingham BHM1 Data Center,"433 6th Street, Birmingham, AL, USA"
ManagedWay,Southfield SFJ1 Data Center,"24700 Northwestern Highway, Southfield, Michigan, EE. UU."
Prime Data Centers,Prime Phoenix - Lower Buckeye #1,"11753 W Lower Buckeye Rd, Avondale, AZ, USA"
Compass Datacenters,Tennessee Data Center,"3111 Eddy Lane, Franklin, TN, USA"
iM Critical,Miami Data Center,"100 Northeast 80th Terrace, Miami, FL 33138, USA"
Irongate,500 Bielenberg Drive,"500 Bielenberg Drive, Woodbury, MN, USA"
QTS Data Centers,Sacramento Data Center,"1100 North Market Boulevard, Sacramento, CA, USA"
Prime Data Centers,Prime Santa Clara - 1111 Comstock,"1111 Comstock Street, Santa Clara, CA, USA"
Vantage Data Centers,VA2 Ashburn Data Center Campus,"22435 Glenn Drive, Sterling, VA 20164, USA"
Amazon AWS,Wanapa Campus,"34820 Hill Road, Oregon, WI, USA"
Vantage Data Centers,TX22 - San Antonio Data Center,"5207 Rogers Rd, San Antonio, Texas 78251, USA"
Irongate,3199 Pilot Knob Rd,"3199 Pilot Knob Road, Eagan, MN, USA"
Expedient,Baltimore Owings Mills Data Center,"11155 Red Run Blvd, Owings Mills, MD, USA"
Ntirety,Newark Data Center,"350 Pencader Drive, Newark, DE, USA"
Netrality Data Centers,1301 Fannin Houston Data Center,"1301 Fannin Street, Houston, TX, USA"
Expedient,Cleveland - 152 NEO Data Center,"15248 Neo Parkway, Cleveland, OH, USA"
DartPoints,Charleston Data Center,"8480 Palmetto Commerce Pkwy, Ladson, Charleston, SC 29456, EE. UU."
Ark data centers (Iowa),Boise Data Center,"2653 South Victory View Way, Boise, ID, USA"
Rackspace,IAD3 Ashburn I Data Center,"44461 Chilum Place, Ashburn, VA, USA"
TierPoint,Charlotte - Center Park Data Center,"1805 Center Park Drive, Charlotte, NC, USA"
Lumen,Los Angeles Data Center,"818 W 7th St, Los Angeles, CA, USA"
H5 Data Centers,Minneapolis Data Center,"1125 Energy Park Drive, Saint Paul, MN, USA"
H5 Data Centers,Ashburn Data Center,"21800 Beaumeade Circle, Ashburn, VA, USA"
EdgeConnex,PHX01 Phoenix Data Center,"3011 S 52nd St ste 107, Tempe, AZ 85282, USA"
Csquare,SEA2-A Tukwila Data Center,"6101 S 180th St, Tukwila, WA 98188, USA"
Lumen,Akron 2 Data Center,"110 South Arlington Street, Akron, OH, USA"
Equinix,DC5 Ashburn Data Center,"21701 Filigree Court, Ashburn, VA, USA"
Digital Realty,Northern Virginia IAD37 Data Center,"44060 Digital Loudoun Plaza bldg k, Ashburn, VA 20147, USA"
Csquare,EWR2-B Weehawken Data Center,"300 J. F. Kennedy Blvd, Weehawken Township, NJ, USA"
Windstream,"Brentwood, TN Data Center","105 Westwood Pl, Brentwood, Tennessee 37027, USA"
365 Data Centers,P1 Phoenix Data Center,"1850 West Deer Valley Road, Phoenix, AZ, USA"
Expedient,Cleveland - 151 NEO Data Center,"15166 Neo Parkway, Cleveland, OH, USA"
Lumen,Pittsburgh 1 Data Center,"143 South 25th Street, Pittsburgh, PA, USA"
Digital Realty,Silicon Valley SJC16 Data Center,"1525 Comstock Street, Santa Clara, CA, USA"
CBRE,Central Ohio Powered Land,"500 N 4th St, Coshocton, OH 43812, USA"
Data Holdings Data Center,Milwaukee Data Center,"3135 W Highland Blvd, Milwaukee, WI, USA"
Cogent Communications,Oklahoma City Data Center,"630 Southwest 7th Street, Oklahoma City, Oklahoma 73109, USA"
DC BLOX,Huntsville HSV1 Data Center,"333 Diamond Drive Northwest, Huntsville, AL, USA"
Lunavi,Cheyenne Data Center,"340 Progress Circle, Cheyenne, WY, USA"
Verizon,Verizon St. Louis 2,"2020 Westport Center Dr, Maryland Heights, Missouri 63146, USA"
Lumen,Corpus Christi 1 Data Center,"4901 Westway Drive, Corpus Christi, TX, USA"
TierPoint,Kansas City - Lenexa Data Center,"14500 West 105th Street, Lenexa, KS, USA"
Digital Realty,Chicago CH3 Data Center,"1400 East Devon Avenue, Elk Grove Village, IL, USA"
Data Canopy,Cincinnati,"229 W 7th St, Cincinnati, OH 45202, USA"
365 Data Centers,BU1 Buffalo Data Center,"350 Main Street, Buffalo, NY, USA"
365 Data Centers,MIA3 Miami Data Center,"100 Northeast 80th Street, Miami, FL, USA"
Amazon AWS,IAD13 Ashburn,"43790 Devin Shafron Drive, Ashburn, VA 20147, USA"
Telehouse,Los Angeles Data Center,"626 Wilshire Boulevard, Los Angeles, CA, USA"
Colocation America,MiamiDC1 Data Center,"36 NE 2nd St, Miami, FL, USA"
Lumen,Pittsurgh 2 Data Center,"200 Technology Drive, Pittsburgh, PA, USA"
Csquare,Los Angeles (LAX1-Hawthorne) Data Center,"2301 W 120th St, Hawthorne, California, USA"
Data Canopy,Phoenix (Chandler),"2605 South Ellis Street, Chandler, AZ, USA"
QTS Data Centers,San Antonio Data Center,"8535 Potranco Rd, San Antonio, TX 78251, USA"
Csquare,DEN1-A Highlands Ranch Data Center,"9180 Commerce Center Circle, Highlands Ranch, CO 80129, USA"
Lumen,Spartanburg Data Center,"145 North Church Street, Spartanburg, SC 29306, EE. UU."
365 Data Centers,IN1 - Indianapolis Data Center,"701 W Henry St, Indianapolis, IN, USA"
Equinix,SE2 Seattle Data Center,"2001 6th Avenue, Seattle, WA, USA"
EdgeConnex,POR02 Portland Data Center,"6297 NE Evergreen Pkwy building a, Hillsboro, OR 97124, USA"
TierPoint,Bethlehem Data Center,"3864 Courtney Street ste 130, Bethlehem, PA 18017, USA"
165 Halsey Street,165 Halsey Street Data Center,"165 Halsey Street, Halsey Street, Newark, NJ 07102, USA"
Csquare,LAX3-A Irvine Data Center,"17836 Gillette Ave, Irvine, CA 92614, USA"
Csquare,EWR2-E Weehawken Data Center,"300 JFK Boulevard East, Weehawken Township, NJ, USA"
IBM Cloud,"WDC01 Chantilly, VA","4030 Lafayette Center Drive, Chantilly, VA, USA"
DataBank,DataBank BOS1 Data Center,"1 Summer Street, Boston, MA, USA"
Csquare,ABQ1 Albuquerque Data Center Campus,"400 Tijeras Avenue Northwest, Albuquerque, NM, USA"
Quonix,Philadelphia - Locust St,"2401 Locust Street, Philadelphia, PA, USA"
NaviSite,Andover Data Center,"400 Minuteman Road, Andover, MA, USA"
Cogent Communications,Denver Data Center,"4643 S Ulster St, Denver, CO, USA"
Navegalo,Navegalo Miami Data Center,"50 NE 8th St, Miami, FL, USA"
Csquare,CMH1-A Columbus Data Center,"8180 Green Meadows Dr, Lewis Center, OH 43035, USA"
Lumen,Riverside 1 Data Center,"1550 Marlborough Avenue, Riverside, CA, USA"
DartPoints,Columbia Data Center,"1000 Catawba Street ste 180, Columbia, SC 29201, USA"
Microsoft Azure,Palmetto Data Center,"8527 Williams Rd, Palmetto, Georgia 30268, USA"
365 Data Centers,MO1 St. Louis Data Center,"900 Walnut Street, St. Louis, MO, USA"
Lumen,Miami 4 Data Center,"1109 Northwest 22nd Street, Miami, FL, USA"
Amazon AWS,Tanner Way,"10281 Tanner Way, Manassas, VA 20110, USA"
UnitedLayer,Las Vegas North Data Center,"7135 South Decatur Boulevard, Las Vegas, NV, USA"
Amazon AWS,IAD6 (Loudoun Exchange),"43831 Devin Shafron Dr building c, Ashburn, VA 20147, USA"
DataBank,IAD6 - Culpepper Data Center,"14601 Germanna Hwy, Culpeper, Virginia 22701, USA"
DataBank,PHX1 Downtown Phoenix Data Center,"3110 North Central Avenue suite d151, Phoenix, AZ 85012, USA"
H5 Data Centers,Phoenix Data Center,"2600 West Germann Road, Chandler, AZ, USA"
EdgeConnex,DEN01 Denver Data Center,"8535 Highfield Parkway, Centennial, CO, USA"
NOVVA,Tahoe Reno Data Center,"3399 Peru Drive, Sparks, NV, USA"
TierPoint,Baltimore - BWI Data Center,"813 Pinnacle Drive, Linthicum Heights, MD, USA"
COPT Data Center,DC-6 Manassas Data Center,"9651 Hornbaker Road, Manassas, VA, USA"
Equinix,SV3 San Jose Data Center,"1735 Lundy Avenue, San Jose, CA, USA"
Csquare,BOS4-A Watertown Data Center,"486 Arsenal Way, Watertown, MA 02472, USA"
DataBank,DataBank SLC3 Data Center,"14926 Pony Express Rd, Bluffdale, Salt Lake, UT, USA"
CyrusOne,CIN4 Cincinnati Hamilton Data Center,"103 Knightsbridge Drive, Hamilton, OH, USA"
TECfusions,"Tucson, AZ Data Center","3701 East Columbia Street, Tucson, AZ, USA"
COPT Defense Properties,"310 The Bridge Street, Huntsville","310 The Bridge Street, Huntsville, AL, USA"
Zenlayer,LAX5 Los Angeles Data Center,"600 W 7th St, Los Angeles, CA, USA"
DataBank,MEM1 - Memphis Data Center,"7620 Appling Center Drive, Memphis, TN, USA"
"DaSTOR, LLC",411 Swedeland Road Data Center,"411 Swedeland Road, King of Prussia, PA, USA"
Digital Fortress,South Seattle Data Center - (TUK),"12101 Tukwila International Boulevard, Tukwila, WA, USA"
EdgeConnex,DEN02 Denver Data Center,"8451 Highfield Parkway, Englewood, CO, USA"
Edged,Edged Dallas Data Center,"505 N Wildwood Dr, Irving, Texas 75061, USA"
H5 Data Centers,Atlanta Data Center,"345 Courtland Street Northeast, Atlanta, GA, USA"
Amazon AWS,45900 Pathfinder Plz,"45900 Pathfinder Plaza, Sterling, VA 20164, USA"
EdgeConnex,POR01 Portland Data Center,"6327 NW Evergreen Pkwy building c suite c 300, Hillsboro, OR 97124, USA"
Amazon AWS,45259 Sterling,"45259 West Severn Way, Sterling, VA, USA"
Equinix,DC13 Ashburn Data Center,"21830 Uunet Drive, Ashburn, VA, USA"
US Signal,Madison Data Center,"222 West Washington Avenue, Madison, WI, USA"
Direct LTx,Reading PA Data Center,"2561 Bernville Road, Reading, PA, USA"
Windstream,"Charlotte, NC Data Center","301 S McDowell St, Charlotte, North Carolina 28204, USA"
Digital Realty,Dallas DFW16 Data Center,"1232 Alma Road, Richardson, TX, USA"
Summit,Ashburn Data Center,"43830 Devin Shafron Drive, Ashburn, Virginia 20147, USA"
Bluebird Data Centers,Bluebird Quad Cities Data Center,"2701 Devils Glen Road, Bettendorf, IA, USA"
China Telecom,Telehouse Chelsea Data Center,"85 10th Avenue, New York, NY 10011, USA"
Expedient,Columbus - Upper Arlington Data Center,"5000 Arlington Centre Boulevard, Upper Arlington, OH, USA"
DartPoints,Baton Rouge Data Center 1,"7127 Florida Boulevard, Baton Rouge, LA, USA"
TierPoint,Chicago – West Data Center,"9333 West Grand Avenue, Chicago, IL, USA"
Vantage Data Centers,OH1 - New Albany Data Center,"3325 Horizon Court, Johnstown, Ohio 43031, USA"
DataBank,LAS1 Las Vegas Data Center,"7185 Pollock Drive, Las Vegas, NV, USA"
TierPoint,Lehigh Valley Data Center,"3949 Schelden Circle, Bethlehem, PA, USA"
EdgeConnex,New Albany Data Center,"9850 Innovation Campus Wy, Johnstown, Ohio 43031, USA"
DataBank,DataBank MSP3 Data Center,"8111 Oxbow Creek Drive North, Brooklyn Park, MN, USA"
WeConnect Data Center,Westerville Data Center,"35 Collegeview Road, Westerville, OH, USA"
Data Canopy,Atlanta 1,"2480 Rock House Road, Lithia Springs, GA, USA"
Lumen,New York 7 Data Center,"601 West 26th Street, New York, NY, USA"
Charlotte Colocation Center,Charlotte Data Center,"5821 Fairview Rd, Charlotte, NC, USA"
Csquare,SFO3 Sunnyvale Data Center Campus,"1400 Kifer Rd, Sunnyvale, CA, USA"
Cogent Communications,New York Data Center,"25 Broadway, New York, NY, USA"
Amazon AWS,12807 Donop Rd,"12807 Donop Rd, Elmendorf, Texas 78223, USA"
Cogent Communications,Buffalo Data Center,"271 Bristol St, Buffalo, New York 14206, USA"
LightEdge,Austin II Data Center,"7000 Burleson Rd, Austin, TX 78744, USA"
CenterServ,Albuquerque Data Center,"6565 Americas Parkway, Albuquerque, NM, USA"
Amazon AWS,Powerline Campus,"80817 Powerline Road, Umatilla, Oregon 97882, USA"
DataBank,DEN1 Englewood Data Center,"393 Inverness Parkway, Englewood, CO, USA"
Colocation America,NYDC3 - New York Data Center,"11 Skyline Dr, Hawthorne, NY, USA"
IBM Cloud,"HOU00 Houston, TX","835 Greens Parkway suite 150, Houston, TX, USA"
Amazon AWS,15455 John Marshall,"15455 John Marshall Hwy, Haymarket, VA 20169, USA"
Digital Fortress,Downtown Seattle Data Center - (SEA),"3101 Western Avenue, Seattle, WA, USA"
Netrality Data Centers,Indy Telcom Center,"701 West Henry Street, Indianapolis, IN, USA"
TierPoint,Philadelphia Data Center,"4775 League Island Boulevard, Philadelphia, PA 19112, USA"
Amazon AWS,Westfax Campus,"4100 Westfax Dr, Chantilly, Virginia 20151, USA"
Microsoft Azure,42010 Growth Mindset,"42010 Growth Mindset Lane, Stone Ridge, Virginia 20105, USA"
H5 Data Centers,Quincy Data Center,"1711 M Street Northeast, Quincy, WA, USA"
CBRE,2301 Maguire Data Center,"2301 Maguire Boulevard, Columbia, MO, USA"
EdgeConnex,SVC02 Santa Clara Data Center,"1700 Richard Avenue, Santa Clara, CA, USA"
H5 Data Centers,Seattle Data Center,"1000 Denny Way, Seattle, WA, USA"
AiNET,One Market Center,"300 W Lexington St, Baltimore, MD 21201, USA"
Expedient,Baltimore Tide Point Data Center,"1050 Hull Street, Baltimore, MD, USA"
1547 Critical Systems Realty,HAII1 AlohaNAP Data Center,"91-340 Farrington Hwy, Kapolei, HI, USA"
Crown Castle,Crown Castle Stamford 2,"5 Landmark Square, Stamford, Connecticut 06901, USA"
Ntirety,Denver Data Center,"888 South Broadway, Denver, CO, USA"
Flexential,Portland - Hillsboro 5 Data Center,"4975 NE Starr Blvd, Hillsboro, OR, USA"
Lumen,Fort Myers 1 Data Center,"1547 Seaboard Street, Fort Myers, FL, USA"
Colocation Northwest,Tacoma Data Center,"1101 A Street, Tacoma, WA, USA"
Mountain West Technology Networks,South Eastern Wyoming - Cheyenne Data Center,"6101 Yellowstone Rd, Cheyenne, WY, USA"
Windstream,"Cleveland, OH Data Center","200 W Prospect Ave, Cleveland, Ohio 44115, USA"
Amazon AWS,25420 Sutton Bay,"25420 Sutton Bay Plz, South Riding, VA 20152, USA"
Digital Realty,Dallas DFW26 Data Center,"2501 Texas 121, Lewisville, TX, USA"
CenterServ,Milwaukee Data Center,"250 E Wisconsin Ave, Milwaukee, WI, USA"
QuadraNet,Dallas Data Center,"3004 Irving Blvd, Dallas, TX, USA"
DataBank,DataBank CLE1 Data Center,"1255 Euclid Avenue, Cleveland, OH, USA"
Irongate,110 North First Street,"110 North 1st Street, Minneapolis, MN, USA"
DataBank,DataBank DEN5 Data Center,"6961 South Quentin Street, Centennial, CO 80112, USA"
Amazon AWS,IAD101 Manassas,"10301 Tanner Way, Manassas, VA 20110, USA"
QuadraNet,Seattle Data Center,"12201 Tukwila International Blvd, Tukwila, WA, USA"
TierPoint,St. Louis - Olive Data Center,"1111 Olive Street, St. Louis, MO, USA"
H5 Data Centers,Omaha Data Center,"10917 Harry Watanabe Pkwy, La Vista, NE, USA"
FirstLight,Rockland Data Center,"1050 Hingham St, Rockland, MA 02370, USA"
Lumen,Amarillo 1 Data Center,"512 SE 8th Ave, Amarillo, TX, USA"
Lincoln Rackhouse,Plano Data Center,"1000 Coit Rd, Plano, TX, USA"
639 Solar,639 Cloud - DC1,"106 NM-113, Lordsburg, NM 88065, USA"
Lumen,New Haven 1 Data Center,"54 Meadow Street, New Haven, CT, USA"
FDCservers.net,DE1 CoreSite,"910 15th Street, Denver, CO, USA"
Colocation America,Boston DC1 Data Center,"34 Saint Martin Drive, Marlborough, MA, USA"
DataBank,HOU2 - Westway Park II Data Center,"5170 Westway Park Blvd, Houston, TX 77041, USA"
Liquid Web,Phoenix Data Center,"3402 E University Dr, Phoenix, Arizona 85034, USA"
DC BLOX,Greenville GSP1 Data Center,"33 Global Drive, Greenville, SC, USA"
Equinix,NY12 Piscataway Data Center,"201b Centennial Avenue, Piscataway Township, NJ, USA"
Vantage Data Centers,TX11 - San Antonio Data Center,"14720 Omicron Dr, San Antonio, Texas 78245, USA"
Digital Realty,Dallas DFW12 Data Center,"2440 Marsh Lane, Carrollton, TX, USA"
DartPoints,Baton Rouge Data Center 2,"7139 Florida Blvd, Baton Rouge, LA 70806, USA"
DC BLOX,Myrtle Beach Cable Landing Station,"1401 Howard Avenue, Myrtle Beach, SC, USA"
365 Data Centers,PA2 Pittsburgh Data Center,"100 South Commons suite 126, Pittsburgh, PA, USA"
Chirisa Technology Parks,"YLO-02 YLO-01Chicago Campus, IL","300 South Fish Lake Road, Volo, IL, United States"
Verizon,Verizon Memphis,"5127 Truse Rd, Memphis, Tennessee 38117, USA"
Evocative,Dallas Data Center (DAL6),"1221 Coit Road, Plano, TX, USA"
CoreSite,DC1 Washington DC Data Center,"1275 K Street Northwest, Washington, DC, USA"
H5 Data Centers,St. Louis Data Center,"710 N Tucker Blvd, St. Louis, MO, USA"
EdgeConnex,NAS01 Nashville Data Center,"1841 Air Lane Drive bldg 3, Nashville, TN 37210, USA"
Cologix,DSM1 Des Moines Data Center,"666 Walnut Street, Des Moines, Iowa, USA"
LightEdge,Saint Louis Data Center,"210 Tucker Blvd, St. Louis, Missouri, USA"
OneSource Cloud Corporation,CT cage Data Center,"600 West 7th Street suite 570, Los Angeles, CA 90017, USA"
US Signal,South Bend Data Center,"506 West South Street, South Bend, IN, USA"
Amazon AWS,Virginia Mallory Campu,"3980 Virginia Mallory Drive, Chantilly, Virginia 20151, USA"
Simple Helix,Huntsville Data Center,"165 West Park Loop Northwest, Huntsville, AL, USA"
Evocative,Seattle Data Center (SEA1),"140 4th Avenue North, Seattle, WA 98109, USA"
Skybox Datacenters,Chicago I Data Center,"800 E Devon Ave, Elk Grove Village, Illinois 60007, USA"
Microsoft Azure,Project Ginger West,"11100 Booneville Rd, West Des Moines, Iowa 50266, USA"
Lumen,San Diego 1 Data Center,"8929 Aero Drive, San Diego, CA, USA"
Amazon AWS,IAD24 Manassas,"7610 Mason King Ct, Manassas, VA, USA"
EdgeConnex,MSP01 Minneapolis Data Center,"6875 Shady Oak Road, Eden Prairie, MN 55344, USA"
US Signal,Oak Brook Data Center,"810 Jorie Blvd, Oak Brook, IL, USA"
Prime Data Centers,Prime Santa Clara - 2215 Martin,"2215 Martin Avenue, Santa Clara, CA, USA"
Stream Data Centers,Houston 1 - The Woodlands Data Center,"4001 Technology Forest Blvd, The Woodlands, TX, USA"
CBRE,7400 World Communications Dr Data Center,"7400 World Communications Drive, Omaha, NE, USA"
EdgeConnex,LAS01 Las Vegas Data Center,"1541 East Pama Lane, Las Vegas, NV, USA"
Aligned Data Centers,IAD-04 Data Center,"5601 Manor Woods Road, Frederick, MD 21703, USA"
Amazon AWS,IAD51 (Prologis building #9),"45220 Prologis Plaza, Sterling, VA, USA"
Aligned Data Centers,DFW-01 Data Center,"2800 Summit Ave, Plano, TX 75074, USA"
CoreSite,OR1 Orlando Data Center,"9701 South John Young Parkway, Orlando, FL, USA"
TierPoint,Charlotte - North Myers Data Center,"125 North Myers Street, Charlotte, NC, USA"
Csquare,DEN1-B Highlands Ranch Data Center,"9110 Commerce Center Circle, Highlands Ranch, CO 80129, USA"
Irongate,"401 Bielenberg Dr, Woodbury","401 Bielenberg Dr, Woodbury, MN, USA"
Lumen,Baton Rouge 2 Data Center,"9826 Burbank Dr, Baton Rouge, LA, USA"
CenterServ,Boise Data Center,"950 West Bannock Street, Boise, ID, USA"
365 Data Centers,CO2 Denver Data Center,"8636 South Peoria Street, Greenwood Village, CO, USA"
FirstLight,Bedford Data Center,"8 Commerce Drive, Bedford, NH, USA"
Amazon AWS,22900 Platform Plz,"22900 Platform Plz, Dulles, VA 20166, USA"
Lumen,Phoenix 1 Data Center,"811 South 16th Street, Phoenix, AZ, USA"
FirstLight,Portsmouth Data Center,"359 Corporate Drive, Portsmouth, NH, USA"
Lumen,Cambridge 1 Data Center,"300 Bent Street, Cambridge, MA, USA"
H5 Data Centers,Quincy II Data Center,"1500 M Street Northeast, Quincy, WA, USA"
Amazon AWS,7500 Bethlehem,"Historic District, 7500 Bethlehem Rd, Manassas, VA 20109, USA"
Amazon AWS,IAD16 Sterling,"22651 Dulles Summit Ct, Sterling, VA, USA"
Digital Realty,Silicon Valley OAK10 Data Center,"720 2nd Street, Oakland, CA, USA"
AUBix,Auburn Data Center,"1571 W Samford Ave, Auburn, AL 36832, USA"
Stack Infrastructure,ATL02 Atlanta Data Center,"808 Factory Shoals Rd, Lithia Springs, Georgia 30122, USA"
TierPoint,New York - 11 Skyline - Hawthorne Data Center,"11 Skyline Drive, Hawthorne, NY, USA"
DataBank,SNA2 Irvine Data Center,"17400 Von Karman Avenue, Irvine, CA, USA"
CoreSite,NY1 New York Data Center,"32 Avenue of the Americas, 6th Avenue, New York, NY, USA"
Skybox Datacenters,Houston I Data Center,"22000 Franz Rd, Katy, TX 77449, USA"
Digital Realty,Dallas DFW36 Data Center,"8435 North Stemmons Freeway, Dallas, TX, USA"
Prime Data Centers,Prime Sacramento - 2407 AK Street,"2407 Ak St, McClellan Park, CA 95652, USA"
COPT Defense Properties,"8100 Rideout Road, Huntsville","8100 Rideout Drive Northwest, Huntsville, Alabama 35806, USA"
Vantage Data Centers,Nevada Data Center Campus,"100-200 Electric Ave, Sparks, Nevada 89437, USA"
DataBank,IND1 Downtown Indianapolis Data Center,"731 West Henry Street, Indianapolis, IN, USA"
Segra,Raleigh Data Center,"2100 Garner Station Boulevard, Raleigh, NC, USA"
